ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0033002,muscle cell proliferation,11/92,252/18986,0.043650794,9.008195307,8.930112451,3.77E-08,6.05E-06,3.87E-06,PTGS2/PIK3R1/MMP9/CDK1/IL6/FGF2/STAT1/PPARG/PDGFRB/DNMT1/IGFBP3,11
BP,GO:0071900,regulation of protein serine/threonine kinase activity,11/92,262/18986,0.041984733,8.664371059,8.716961154,5.61E-08,8.57E-06,5.48E-06,PLK1/NOX4/CALM1/MIF/PTPN1/PLA2G1B/PRKCH/PDE5A/FGF2/SNCA/PDGFRB,11
BP,GO:0097193,intrinsic apoptotic signaling pathway,12/92,327/18986,0.036697248,7.573195054,8.366493398,5.89E-08,8.59E-06,5.49E-06,PTGS2/PIK3R1/PARP1/P4HB/MMP9/MCL1/CYP1B1/CXCL12/MIF/PTPN1/FGF2/PDK1,12
BP,GO:0044839,cell cycle G2/M phase transition,9/92,158/18986,0.056962025,11.7552284,9.472908558,7.34E-08,9.55E-06,6.10E-06,PLK1/CDK1/CALM1/AURKB/ABCB1/CCNB1/CCNA2/CHEK1/AURKA,9
BP,GO:0043269,regulation of monoatomic ion transport,14/92,480/18986,0.029166667,6.019112319,7.77192343,7.50E-08,9.55E-06,6.10E-06,PTGS2/MMP9/MAOB/KCNA5/CXCL12/CFTR/CALM1/CA2/ABCB1/PLA2G1B/PRKCE/SNCA/PDGFRB/MYLK,14
BP,GO:0006979,response to oxidative stress,13/92,405/18986,0.032098765,6.624208266,7.983468632,7.59E-08,9.55E-06,6.10E-06,PTGS2/PARP1/NR4A2/NQO1/KCNA5/DAPK1/CYP1B1/CDK1/ALOX5/AXL/IL6/STAT1/SNCA,13
BP,GO:0018105,peptidyl-serine phosphorylation,9/92,159/18986,0.056603774,11.68129614,9.437766234,7.75E-08,9.55E-06,6.10E-06,PTGS2/PLK1/CDK5/CDK1/PRKCZ/PRKCE/IL6/SNCA/AURKA,9
BP,GO:0043406,positive regulation of MAP kinase activity,7/92,77/18986,0.090909091,18.76086957,10.89714088,9.08E-08,1.05E-05,6.72E-06,NOX4/MIF/PTPN1/PLA2G1B/PDE5A/FGF2/PDGFRB,7
BP,GO:0097305,response to alcohol,11/92,275/18986,0.04,8.254782609,8.456283018,9.18E-08,1.05E-05,6.72E-06,RAD51/PARP1/NQO1/MAOB/CYP1B1/CFTR/CDK1/PRKCE/PRKCB/FGF2/TYMS,11
BP,GO:0023061,signal release,14/92,493/18986,0.028397566,5.860393333,7.630068733,1.04E-07,1.13E-05,7.21E-06,PTGS2/MAOB/KCNA5/CXCL12/CFTR/CDK5/ALOX5/MIF/PTGES/PRKCE/PRKCB/IL6/SNCA/PPARG,14
BP,GO:0010038,response to metal ion,12/92,345/18986,0.034782609,7.178071834,8.081000932,1.06E-07,1.13E-05,7.21E-06,PTGS2/PARP1/NQO1/MAOB/KIT/HSD17B1/CDK1/CALM1/TNNC1/SNCA/ALOX5AP/HSP90B1,12
BP,GO:1903829,positive regulation of protein localization,14/92,497/18986,0.028169014,5.813227189,7.587437092,1.15E-07,1.19E-05,7.60E-06,PTGS2/PLK1/PIK3R1/PARP1/CFTR/CDK5/CDK1/PLA2G1B/PRKCZ/PRKCH/PRKCE/PRKCB/SNCA/PPARG,14
BP,GO:0018209,peptidyl-serine modification,9/92,171/18986,0.052631579,10.86155606,9.03917201,1.45E-07,1.45E-05,9.26E-06,PTGS2/PLK1/CDK5/CDK1/PRKCZ/PRKCE/IL6/SNCA/AURKA,9
BP,GO:0051054,positive regulation of DNA metabolic process,11/92,295/18986,0.037288136,7.69513633,8.087074109,1.86E-07,1.81E-05,1.16E-05,RAD51/PARP1/NOX4/CYP1B1/CDK1/AURKB/NEK2/IL6/FGF2/CCNA2/PDGFRB,11
BP,GO:0051347,positive regulation of transferase activity,11/92,304/18986,0.036184211,7.467319794,7.932073014,2.52E-07,2.37E-05,1.52E-05,PLK1/NOX4/EEF1A2/CALM1/MIF/PTPN1/PLA2G1B/PDE5A/FGF2/SNCA/PDGFRB,11
BP,GO:0072593,reactive oxygen species metabolic process,10/92,242/18986,0.041322314,8.527667984,8.223832571,2.72E-07,2.49E-05,1.59E-05,XDH/PDK4/NQO1/NOX4/MAOB/CYP1B1/ALOX5/PRKCE/SNCA/PDGFRB,10
BP,GO:2001242,regulation of intrinsic apoptotic signaling pathway,9/92,189/18986,0.047619048,9.827122153,8.510263885,3.38E-07,3.01E-05,1.93E-05,PTGS2/PARP1/P4HB/MMP9/MCL1/CXCL12/MIF/PTPN1/FGF2,9
BP,GO:0034599,cellular response to oxidative stress,10/92,251/18986,0.039840637,8.221895029,8.037082799,3.80E-07,3.29E-05,2.10E-05,PARP1/NR4A2/NQO1/DAPK1/CYP1B1/CDK1/ALOX5/AXL/IL6/SNCA,10
BP,GO:0046456,icosanoid biosynthetic process,6/92,60/18986,0.1,20.63695652,10.63059676,4.45E-07,3.76E-05,2.40E-05,PTGS2/ALOX5/MIF/PLA2G1B/PTGES/ALOX5AP,6
BP,GO:0033674,positive regulation of kinase activity,10/92,258/18986,0.03875969,7.998820357,7.898166011,4.89E-07,4.02E-05,2.57E-05,NOX4/EEF1A2/CALM1/MIF/PTPN1/PLA2G1B/PDE5A/FGF2/SNCA/PDGFRB,10
BP,GO:0042542,response to hydrogen peroxide,7/92,99/18986,0.070707071,14.59178744,9.461280975,5.16E-07,4.13E-05,2.64E-05,NQO1/KCNA5/CYP1B1/CDK1/AXL/IL6/STAT1,7
BP,GO:0050673,epithelial cell proliferation,13/92,482/18986,0.026970954,5.565984124,7.085367245,5.57E-07,4.26E-05,2.72E-05,XDH/MMP12/KIT/KDR/CXCL12/AR/ALOX5/IL6/FGF2/ALDH1A2/STAT1/PPARG/IGFBP3,13
BP,GO:2001233,regulation of apoptotic signaling pathway,12/92,403/18986,0.029776675,6.144999461,7.284792773,5.58E-07,4.26E-05,2.72E-05,PTGS2/PARP1/P4HB/NR4A2/MMP9/MCL1/CXCL12/AR/MIF/PTPN1/FGF2/PPARG,12
BP,GO:0043279,response to alkaloid,7/92,103/18986,0.067961165,14.02511608,9.249153289,6.76E-07,5.04E-05,3.22E-05,RAD51/NQO1/CDK5/BCHE/PRKCE/CCNA2/CHEK1,7
BP,GO:1904375,regulation of protein localization to cell periphery,8/92,153/18986,0.052287582,10.7905655,8.484592689,7.77E-07,5.62E-05,3.59E-05,PLK1/PIK3R1/CDK5/AR/PRKCZ/PRKCH/PRKCE/SNCA,8
BP,GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,6/92,66/18986,0.090909091,18.76086957,10.08585884,7.89E-07,5.62E-05,3.59E-05,PARP1/P4HB/MCL1/CYP1B1/FGF2/PDK1,6
BP,GO:0031960,response to corticosteroid,8/92,156/18986,0.051282051,10.58305463,8.386453858,9.01E-07,6.16E-05,3.94E-05,PTGS2/PARP1/MAOB/CYP1B1/BCHE/IL6/TYMS/IGFBP2,8
BP,GO:0032868,response to insulin,10/92,276/18986,0.036231884,7.47715816,7.563789049,9.05E-07,6.16E-05,3.94E-05,PIK3R1/PDK4/PARP1/PTPN1/PLA2G1B/PRKCZ/PRKCB/STAT1/PPARG/SLC2A1,10
BP,GO:0032869,cellular response to insulin stimulus,9/92,213/18986,0.042253521,8.719840784,7.906213975,9.23E-07,6.16E-05,3.94E-05,PIK3R1/PDK4/PARP1/PTPN1/PLA2G1B/PRKCZ/PRKCB/STAT1/PPARG,9
BP,GO:0009612,response to mechanical stimulus,9/92,222/18986,0.040540541,8.366333725,7.70375432,1.30E-06,8.52E-05,5.44E-05,PTGS2/KIT/KCNA5/CXCL12/FGF2/STAT1/CHEK1/SLC2A1/IGFBP2,9
BP,GO:0006730,one-carbon metabolic process,5/92,40/18986,0.125,25.79619565,10.95452479,1.38E-06,8.82E-05,5.63E-05,CA9/CA4/CA2/CA12/TYMS,5
BP,GO:1901654,response to ketone,9/92,224/18986,0.040178571,8.291634317,7.660314185,1.40E-06,8.82E-05,5.63E-05,PARP1/NQO1/MAOB/CYP1B1/CFTR/CA9/AR/PRKCE/TYMS,9
BP,GO:0098754,detoxification,8/92,167/18986,0.047904192,9.885967196,8.048258723,1.51E-06,9.28E-05,5.93E-05,PTGS2/NQO1/AKR1B10/ABCG2/ABCB1/PTGES/PRKCE/ALOX5AP,8
BP,GO:0042417,dopamine metabolic process,5/92,41/18986,0.12195122,25.16702015,10.80948459,1.56E-06,9.45E-05,6.04E-05,NR4A2/MAOB/MAOA/ALDH2/SNCA,5
BP,GO:0022411,cellular component disassembly,12/92,450/18986,0.026666667,5.503188406,6.746144244,1.77E-06,0.000105262,6.73E-05,PLK1/PIK3R1/MMP9/MMP13/MMP12/CDK1/CALM1/AURKB/TOP2A/PRKCB/IL6/AURKA,12
BP,GO:1903532,positive regulation of secretion by cell,10/92,298/18986,0.033557047,6.925153195,7.193886172,1.81E-06,0.000105412,6.74E-05,CXCL12/CFTR/CDK5/MIF/PLA2G1B/PTGES/PRKCE/PRKCB/SNCA/PPARG,10
BP,GO:0007088,regulation of mitotic nuclear division,7/92,121/18986,0.05785124,11.93873518,8.423035822,2.01E-06,0.000114891,7.34E-05,PLK1/AURKB/NEK2/CCNB1/PDGFRB/CHEK1/AURKA,7
BP,GO:0043549,regulation of kinase activity,12/92,460/18986,0.026086957,5.383553875,6.641278512,2.23E-06,0.00012171,7.78E-05,PLK1/NOX4/EEF1A2/CALM1/MIF/PTPN1/PLA2G1B/PRKCH/PDE5A/FGF2/SNCA/PDGFRB,12
BP,GO:0042180,cellular ketone metabolic process,9/92,237/18986,0.037974684,7.836818932,7.390544826,2.23E-06,0.00012171,7.78E-05,PTGS2/PDK4/NQO1/HSD17B1/AKR1B10/PRKCE/SNCA/PPARG/PDK1,9
BP,GO:0043405,regulation of MAP kinase activity,7/92,123/18986,0.056910569,11.7446094,8.342093717,2.24E-06,0.00012171,7.78E-05,NOX4/MIF/PTPN1/PLA2G1B/PDE5A/FGF2/PDGFRB,7
BP,GO:0015711,organic anion transport,12/92,462/18986,0.025974026,5.360248447,6.620672365,2.33E-06,0.000122271,7.81E-05,SLC16A3/PTGS2/CFTR/CA4/ABCG2/ABCB1/MIF/PLA2G1B/PTGES/SNCA/PPARG/SLC2A1,12
BP,GO:0051402,neuron apoptotic process,10/92,307/18986,0.03257329,6.722135675,7.053225785,2.36E-06,0.000122271,7.81E-05,PARP1/NR4A2/NQO1/MCL1/KDR/CDK5/AXL/FGF2/THRB/SNCA,10
BP,GO:0006690,icosanoid metabolic process,7/92,124/18986,0.056451613,11.64989481,8.302321547,2.36E-06,0.000122271,7.81E-05,PTGS2/CYP1B1/ALOX5/MIF/PLA2G1B/PTGES/ALOX5AP,7
BP,GO:0001936,regulation of endothelial cell proliferation,8/92,179/18986,0.044692737,9.223220792,7.713401949,2.53E-06,0.00012679,8.10E-05,XDH/KDR/CXCL12/ALOX5/FGF2/ALDH1A2/STAT1/PPARG,8
BP,GO:0015718,monocarboxylic acid transport,8/92,179/18986,0.044692737,9.223220792,7.713401949,2.53E-06,0.00012679,8.10E-05,SLC16A3/PTGS2/ABCG2/MIF/PLA2G1B/PTGES/PPARG/SLC2A1,8
BP,GO:0045860,positive regulation of protein kinase activity,9/92,243/18986,0.037037037,7.64331723,7.272870161,2.74E-06,0.000135252,8.64E-05,NOX4/CALM1/MIF/PTPN1/PLA2G1B/PDE5A/FGF2/SNCA/PDGFRB,9
BP,GO:2001234,negative regulation of apoptotic signaling pathway,9/92,244/18986,0.036885246,7.61199216,7.253648979,2.84E-06,0.000137759,8.80E-05,PTGS2/NR4A2/MMP9/MCL1/CXCL12/AR/MIF/PTPN1/FGF2,9
BP,GO:0045471,response to ethanol,7/92,129/18986,0.054263566,11.1983485,8.110089785,3.08E-06,0.00014732,9.41E-05,NQO1/MAOB/CDK1/PRKCE/PRKCB/FGF2/TYMS,7
BP,GO:0051047,positive regulation of secretion,10/92,322/18986,0.031055901,6.408992709,6.830920452,3.61E-06,0.0001702,0.000108747,CXCL12/CFTR/CDK5/MIF/PLA2G1B/PTGES/PRKCE/PRKCB/SNCA/PPARG,10
BP,GO:0043523,regulation of neuron apoptotic process,9/92,254/18986,0.035433071,7.312307429,7.067245612,3.94E-06,0.000181579,0.000116017,PARP1/NR4A2/NQO1/MCL1/KDR/CDK5/AXL/FGF2/SNCA,9
BP,GO:0051384,response to glucocorticoid,7/92,134/18986,0.052238806,10.78049968,7.928152322,3.96E-06,0.000181579,0.000116017,PTGS2/MAOB/CYP1B1/BCHE/IL6/TYMS/IGFBP2,7
BP,GO:1904951,positive regulation of establishment of protein localization,10/92,327/18986,0.03058104,6.310995878,6.759941183,4.14E-06,0.000182107,0.000116354,PTGS2/PIK3R1/CFTR/CDK5/CDK1/PLA2G1B/PRKCZ/PRKCE/PRKCB/PPARG,10
BP,GO:0006631,fatty acid metabolic process,11/92,405/18986,0.027160494,5.605099302,6.536860672,4.15E-06,0.000182107,0.000116354,PTGS2/PDK4/CYP1B1/ALOX5/MIF/PLA2G1B/PTGES/SNCA/PPARG/PDK1/ALOX5AP,11
BP,GO:0097237,cellular response to toxic substance,7/92,135/18986,0.051851852,10.70064412,7.892916689,4.17E-06,0.000182107,0.000116354,PTGS2/NQO1/CYP1B1/AKR1B10/ABCG2/PTGES/ALOX5AP,7
BP,GO:0060326,cell chemotaxis,10/92,328/18986,0.030487805,6.291755037,6.745922822,4.25E-06,0.000182107,0.000116354,PGF/KIT/KDR/CXCL12/ALOX5/MIF/PLA2G1B/IL6/FGF2/PDGFRB,10
BP,GO:0051988,regulation of attachment of spindle microtubules to kinetochore,4/92,23/18986,0.173913043,35.89035917,11.68296551,4.26E-06,0.000182107,0.000116354,CDK1/AURKB/NEK2/CCNB1,4
BP,GO:0051222,positive regulation of protein transport,9/92,257/18986,0.035019455,7.226949755,7.01329145,4.33E-06,0.000182711,0.00011674,PTGS2/PIK3R1/CFTR/CDK1/PLA2G1B/PRKCZ/PRKCE/PRKCB/PPARG,9
BP,GO:0048009,insulin-like growth factor receptor signaling pathway,5/92,53/18986,0.094339623,19.46882691,9.395173126,5.72E-06,0.000234994,0.000150145,PIK3R1/AR/IGFBP6/IGFBP3/IGFBP2,5
BP,GO:2000573,positive regulation of DNA biosynthetic process,5/92,53/18986,0.094339623,19.46882691,9.395173126,5.72E-06,0.000234994,0.000150145,NOX4/CYP1B1/FGF2/CCNA2/PDGFRB,5
BP,GO:0043567,regulation of insulin-like growth factor receptor signaling pathway,4/92,25/18986,0.16,33.01913043,11.17856811,6.04E-06,0.000239211,0.00015284,AR/IGFBP6/IGFBP3/IGFBP2,4
BP,GO:0031400,negative regulation of protein modification process,10/92,342/18986,0.029239766,6.034197813,6.555578791,6.14E-06,0.000239211,0.00015284,XDH/PLK1/CDK5/CALM1/PTPN1/PRKCZ/PRKCH/PRKCE/SNCA/IGFBP3,10
BP,GO:0071214,cellular response to abiotic stimulus,10/92,342/18986,0.029239766,6.034197813,6.555578791,6.14E-06,0.000239211,0.00015284,RAD51/PTGS2/PIK3R1/PARP1/MMP9/AURKB/FGF2/CHEK1/SLC2A1/MYLK,10
BP,GO:0104004,cellular response to environmental stimulus,10/92,342/18986,0.029239766,6.034197813,6.555578791,6.14E-06,0.000239211,0.00015284,RAD51/PTGS2/PIK3R1/PARP1/MMP9/AURKB/FGF2/CHEK1/SLC2A1/MYLK,10
BP,GO:0001935,endothelial cell proliferation,8/92,202/18986,0.03960396,8.173052088,7.15192396,6.19E-06,0.000239211,0.00015284,XDH/KDR/CXCL12/ALOX5/FGF2/ALDH1A2/STAT1/PPARG,8
BP,GO:2000278,regulation of DNA biosynthetic process,6/92,94/18986,0.063829787,13.17252544,8.255490997,6.35E-06,0.000242188,0.000154742,NOX4/CYP1B1/FGF2/CCNA2/PDGFRB/CHEK1,6
BP,GO:0045859,regulation of protein kinase activity,11/92,427/18986,0.025761124,5.316311985,6.294869609,6.86E-06,0.000258615,0.000165238,PLK1/NOX4/CALM1/MIF/PTPN1/PLA2G1B/PRKCH/PDE5A/FGF2/SNCA/PDGFRB,11
BP,GO:1904645,response to amyloid-beta,5/92,56/18986,0.089285714,18.42585404,9.1127622,7.52E-06,0.000280473,0.000179204,PARP1/MMP9/MMP13/MMP12/CDK5,5
BP,GO:0006584,catecholamine metabolic process,5/92,57/18986,0.087719298,18.10259344,9.023454297,8.22E-06,0.000299311,0.00019124,NR4A2/MAOB/MAOA/ALDH2/SNCA,5
BP,GO:0009712,catechol-containing compound metabolic process,5/92,57/18986,0.087719298,18.10259344,9.023454297,8.22E-06,0.000299311,0.00019124,NR4A2/MAOB/MAOA/ALDH2/SNCA,5
BP,GO:0051783,regulation of nuclear division,7/92,151/18986,0.046357616,9.566801037,7.374992803,8.72E-06,0.000313956,0.000200597,PLK1/AURKB/NEK2/CCNB1/PDGFRB/CHEK1/AURKA,7
BP,GO:0046942,carboxylic acid transport,10/92,357/18986,0.028011204,5.78066009,6.363037191,8.95E-06,0.000318684,0.000203618,SLC16A3/PTGS2/ABCG2/ABCB1/MIF/PLA2G1B/PTGES/SNCA/PPARG/SLC2A1,10
BP,GO:0015849,organic acid transport,10/92,358/18986,0.027932961,5.764512995,6.350591436,9.17E-06,0.00032296,0.00020635,SLC16A3/PTGS2/ABCG2/ABCB1/MIF/PLA2G1B/PTGES/SNCA/PPARG/SLC2A1,10
BP,GO:0031589,cell-substrate adhesion,10/92,361/18986,0.027700831,5.716608455,6.313534301,9.86E-06,0.000341284,0.000218058,PIK3R1/P4HB/MMP12/KDR/CDK5/AXL/PTPN1/PRKCZ/PRKCE/PLAU,10
BP,GO:0042060,wound healing,11/92,444/18986,0.024774775,5.112759499,6.119046727,9.90E-06,0.000341284,0.000218058,MMP12/KDR/ALOX5/AXL/PRKCE/IL6/FGF2/F10/PPARG/PLAU/MYLK,11
BP,GO:0006816,calcium ion transport,11/92,445/18986,0.024719101,5.101270151,6.108985084,1.01E-05,0.000344847,0.000220334,PTGS2/CXCL12/CDK5/CALM1/PLA2G1B/PRKCE/PRKCB/FGF2/SNCA/PDGFRB/MYLK,11
BP,GO:0071456,cellular response to hypoxia,7/92,156/18986,0.044871795,9.260172798,7.228755416,1.08E-05,0.000363965,0.00023255,PTGS2/P4HB/PTPN1/PRKCE/CCNA2/PPARG/PDK1,7
BP,GO:0048010,vascular endothelial growth factor receptor signaling pathway,5/92,62/18986,0.080645161,16.64270687,8.608719179,1.25E-05,0.000416017,0.000265807,PGF/KDR/AXL/PTPN1/PRKCB,5
BP,GO:0010810,regulation of cell-substrate adhesion,8/92,223/18986,0.035874439,7.403392474,6.711949378,1.27E-05,0.000421323,0.000269197,PIK3R1/P4HB/MMP12/KDR/PTPN1/PRKCZ/PRKCE/PLAU,8
BP,GO:0010389,regulation of G2/M transition of mitotic cell cycle,6/92,107/18986,0.056074766,11.57212515,7.652475541,1.34E-05,0.00043812,0.00027993,PLK1/CDK1/AURKB/CCNB1/CHEK1/AURKA,6
BP,GO:0036294,cellular response to decreased oxygen levels,7/92,163/18986,0.042944785,8.862496666,7.03472483,1.44E-05,0.000464804,0.000296979,PTGS2/P4HB/PTPN1/PRKCE/CCNA2/PPARG/PDK1,7
BP,GO:0048511,rhythmic process,9/92,299/18986,0.030100334,6.211792933,6.338554268,1.46E-05,0.000468741,0.000299495,PARP1/CYP1B1/CDK5/CDK1/CA12/AXL/TOP2A/TYMS/PPARG,9
BP,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,6/92,112/18986,0.053571429,11.05551242,7.447637015,1.74E-05,0.000541464,0.000345959,PTGS2/MMP9/CXCL12/MIF/PTPN1/FGF2,6
BP,GO:0006935,chemotaxis,11/92,472/18986,0.023305085,4.809460206,5.848191292,1.75E-05,0.000541464,0.000345959,PGF/KIT/KDR/CXCL12/ALOX5/MIF/PLA2G1B/IL6/FGF2/PDGFRB/PLAU,11
BP,GO:0010563,negative regulation of phosphorus metabolic process,9/92,306/18986,0.029411765,6.069693095,6.238658386,1.76E-05,0.000541464,0.000345959,XDH/PLK1/PARP1/CALM1/PTPN1/PRKCZ/PRKCH/SNCA/IGFBP3,9
BP,GO:0045936,negative regulation of phosphate metabolic process,9/92,306/18986,0.029411765,6.069693095,6.238658386,1.76E-05,0.000541464,0.000345959,XDH/PLK1/PARP1/CALM1/PTPN1/PRKCZ/PRKCH/SNCA/IGFBP3,9
BP,GO:0042330,taxis,11/92,474/18986,0.023206751,4.789167125,5.829663937,1.82E-05,0.000551696,0.000352497,PGF/KIT/KDR/CXCL12/ALOX5/MIF/PLA2G1B/IL6/FGF2/PDGFRB/PLAU,11
BP,GO:0070301,cellular response to hydrogen peroxide,5/92,67/18986,0.074626866,15.40071382,8.239665696,1.82E-05,0.000551696,0.000352497,NQO1/CYP1B1/CDK1/AXL/IL6,5
BP,GO:0001933,negative regulation of protein phosphorylation,8/92,236/18986,0.033898305,6.995578482,6.467310565,1.92E-05,0.000575052,0.00036742,XDH/PLK1/CALM1/PTPN1/PRKCZ/PRKCH/SNCA/IGFBP3,8
BP,GO:0071897,DNA biosynthetic process,7/92,175/18986,0.04,8.254782609,6.727825905,2.27E-05,0.000674491,0.000430955,NOX4/CYP1B1/FGF2/CCNA2/TYMS/PDGFRB/CHEK1,7
BP,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,9/92,317/18986,0.028391167,5.85907283,6.08779151,2.32E-05,0.000677869,0.000433113,XDH/PIK3R1/NOX4/KIT/KDR/AXL/PTPN1/FGF2/PDGFRB,9
BP,GO:0042416,dopamine biosynthetic process,3/92,12/18986,0.25,51.5923913,12.23301874,2.35E-05,0.000677869,0.000433113,NR4A2/ALDH2/SNCA,3
BP,GO:0051081,nuclear membrane disassembly,3/92,12/18986,0.25,51.5923913,12.23301874,2.35E-05,0.000677869,0.000433113,PLK1/CDK1/PRKCB,3
BP,GO:0071453,cellular response to oxygen levels,7/92,178/18986,0.039325843,8.115657059,6.655657437,2.53E-05,0.000710461,0.000453937,PTGS2/P4HB/PTPN1/PRKCE/CCNA2/PPARG/PDK1,7
