"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","sample type:ch1","tissue:ch1","group"
"GSM466957","Control 11","GSM466957","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE497","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466957/suppl/GSM466957.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466958","Tumor 12","GSM466958","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE498","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466958/suppl/GSM466958.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466959","Control 12","GSM466959","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE499","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466959/suppl/GSM466959.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466960","Tumor 16","GSM466960","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE502","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466960/suppl/GSM466960.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466961","Control 18","GSM466961","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE504","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466961/suppl/GSM466961.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466962","Tumor 18","GSM466962","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE505","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466962/suppl/GSM466962.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466963","Tumor 21","GSM466963","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE506","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466963/suppl/GSM466963.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466964","Control 21","GSM466964","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE507","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466964/suppl/GSM466964.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466965","Tumor 22","GSM466965","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE508","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466965/suppl/GSM466965.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466966","Control 22","GSM466966","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE509","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466966/suppl/GSM466966.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466967","Tumor 23","GSM466967","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE510","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466967/suppl/GSM466967.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466968","Control 23","GSM466968","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE511","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466968/suppl/GSM466968.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466969","Tumor 24","GSM466969","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE512","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466969/suppl/GSM466969.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466970","Control 24","GSM466970","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE513","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466970/suppl/GSM466970.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466971","Tumor 26","GSM466971","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE514","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466971/suppl/GSM466971.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466972","Control 26","GSM466972","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE515","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466972/suppl/GSM466972.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466973","Tumor 28","GSM466973","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE516","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466973/suppl/GSM466973.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466974","Control 28","GSM466974","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE517","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466974/suppl/GSM466974.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466975","Tumor 29","GSM466975","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE518","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466975/suppl/GSM466975.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466976","Control 29","GSM466976","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE519","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466976/suppl/GSM466976.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466977","Tumor 30","GSM466977","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE520","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466977/suppl/GSM466977.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466978","Control 30","GSM466978","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE521","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466978/suppl/GSM466978.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466979","Control 31","GSM466979","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE522","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466979/suppl/GSM466979.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466980","Tumor 31","GSM466980","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE523","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466980/suppl/GSM466980.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466981","Control 32","GSM466981","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE524","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466981/suppl/GSM466981.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466982","Tumor 32","GSM466982","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE525","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466982/suppl/GSM466982.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466983","Tumor 33","GSM466983","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE527","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466983/suppl/GSM466983.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
